checking_status,duration,savings_status,employment,installment_commitment,age,credit_amount_log,monthly_burden,financial_stress_score,high_risk_interaction,target,credit_history_critical/other existing credit,credit_history_delayed previously,credit_history_existing paid,credit_history_no credits/all paid,personal_status_male div/sep,personal_status_male mar/wid,personal_status_male single,other_parties_guarantor,other_parties_none,property_magnitude_life insurance,property_magnitude_no known property,property_magnitude_real estate,other_payment_plans_none,other_payment_plans_stores,housing_own,housing_rent,foreign_worker_yes,purpose_risk_low_risk
3,15,3,2,2,28,7.247080584585756,93.53333333333333,6,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
3,24,2,2,4,32,7.1569563646156364,53.416666666666664,5,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
0,24,4,0,4,53,7.793586803371584,101.0,0,0,0,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
3,30,4,3,2,25,8.996280439395015,269.06666666666666,3,1,0,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False
2,24,3,0,4,44,9.439863530254431,524.125,5,0,1,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True
0,24,1,0,3,31,8.14060704285845,142.91666666666666,1,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
0,9,3,2,4,48,7.666221925662725,237.11111111111111,3,0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
3,6,1,2,2,44,7.881559917056899,441.1666666666667,4,0,0,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False
3,10,3,3,1,48,7.715123603632105,224.1,6,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False
2,12,2,3,3,44,7.498315870766981,150.33333333333334,4,0,0,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True
0,10,4,2,2,26,7.635303886259415,206.9,0,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False
3,6,3,2,1,36,7.226209010100671,229.0,6,0,0,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False
0,6,3,0,4,39,6.056784013228625,71.0,3,0,0,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,True,False
1,12,0,2,3,42,6.016157159698354,34.083333333333336,1,0,0,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False
2,7,3,2,3,34,7.789868559054706,345.0,5,0,0,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False
3,60,3,0,3,63,8.830104317913793,113.93333333333334,6,0,1,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
2,18,0,3,3,36,7.5569505720129,106.27777777777777,2,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
3,24,3,2,2,27,8.299285906897275,167.5,6,0,0,False,False,True,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False
2,18,2,2,2,30,8.67709870892586,325.8888888888889,4,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
0,12,4,0,4,57,7.142827401161621,105.33333333333333,0,0,0,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,True,False
1,12,3,3,4,33,7.29641326877392,122.83333333333333,4,0,0,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
2,45,3,3,4,25,8.465268118551318,105.46666666666667,5,0,1,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
0,48,3,2,1,31,8.717845704894916,127.29166666666667,3,0,0,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
1,18,3,2,4,37,7.650168700845001,116.66666666666667,4,0,1,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False
1,10,3,2,2,37,7.111512116496157,122.5,4,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
2,9,3,2,4,24,6.129050210060545,50.888888888888886,5,0,0,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
0,30,1,0,4,30,7.755338812846501,77.76666666666667,1,0,0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
2,12,1,2,3,26,7.055312843339752,96.5,3,0,0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
2,18,3,2,2,44,8.733110697638708,344.6666666666667,5,0,0,False,True,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
3,30,2,1,1,24,8.730367211692958,206.23333333333332,5,0,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True
3,48,3,0,4,58,8.723231274827508,127.97916666666667,6,0,1,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,True
0,11,3,3,4,35,7.2399325913204695,126.63636363636364,3,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
0,36,1,0,4,39,7.7406644019172415,63.861111111111114,1,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
3,6,1,4,1,23,7.210079628170788,225.33333333333334,4,0,0,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True
0,11,3,2,1,39,8.885855993000296,657.0909090909091,3,0,0,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
0,12,2,2,4,28,7.637234388789473,172.75,2,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False
2,24,4,3,4,29,7.755338812846501,97.20833333333333,2,0,0,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False
2,27,3,0,1,30,8.693831965074693,220.92592592592592,5,0,0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True
0,12,3,2,3,25,7.141245122350491,105.16666666666667,3,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
0,18,4,2,2,31,8.12533508671429,187.66666666666666,0,0,0,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True
2,36,3,0,4,57,7.70796153183549,61.80555555555556,5,0,1,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
0,6,4,2,1,26,6.664409020350408,130.5,0,0,0,False,False,False,False,False,False,True,True,False,False,False,True,False,True,True,False,True,False
2,12,4,4,2,52,8.774776816043985,539.0,2,0,1,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
0,36,3,2,2,31,9.166074955678168,265.72222222222223,3,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False
1,18,3,0,3,23,7.581719640125308,108.94444444444444,4,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
3,36,3,3,4,23,8.737131611781498,173.02777777777777,6,0,1,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False
2,9,3,2,2,27,7.238496840894365,154.55555555555554,5,0,0,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False
2,15,4,0,4,50,7.338238150065589,102.46666666666667,2,0,0,True,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False
2,36,3,0,4,61,7.577633832602728,54.25,5,1,1,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False
2,48,3,2,2,25,9.576510097476705,300.4375,5,1,1,False,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False
0,24,3,3,4,26,8.065265208897733,132.54166666666666,3,0,0,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False
0,27,4,0,4,48,8.55468163582723,192.22222222222223,0,0,0,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
0,12,3,3,2,29,7.683403681053826,180.91666666666666,3,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
2,12,0,2,4,22,6.915723448631314,83.91666666666667,2,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False
0,36,3,2,4,37,7.506591780070841,50.52777777777778,3,0,1,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
0,36,4,2,4,25,7.781138509845015,66.5,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
0,36,3,2,1,30,9.00380808646717,225.91666666666666,3,0,0,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,True
0,7,4,0,4,46,6.594413459749778,104.28571428571429,0,0,0,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,False
3,8,3,0,3,51,7.060476365999801,145.5,6,0,0,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
2,42,3,1,2,41,8.691986481789401,141.76190476190476,5,0,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False
3,36,4,0,4,40,7.589841512182657,54.916666666666664,3,0,1,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
3,12,3,0,4,66,7.3310603052186325,127.16666666666667,6,0,0,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True
3,42,3,3,4,34,8.285513309079741,94.4047619047619,6,0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
2,11,3,1,2,51,8.470520783217808,433.72727272727275,5,0,0,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
0,54,4,2,2,39,9.152393412021333,174.74074074074073,0,0,0,False,False,False,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True
2,30,3,3,2,22,8.251403065380556,127.73333333333333,5,0,0,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False
0,24,4,3,1,44,8.690137586397595,247.625,0,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
0,15,1,0,4,47,7.101675971619444,80.86666666666666,1,0,0,False,False,True,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False
0,18,2,2,3,24,7.358193752733032,87.11111111111111,2,0,0,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False
3,24,3,0,4,58,7.470793774195062,73.125,6,0,0,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False
3,10,3,0,3,52,7.7475968386928855,231.5,6,0,0,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
0,12,3,2,4,29,7.253470382684528,117.66666666666667,3,0,0,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,True,False
2,18,3,3,4,27,7.16703787691222,71.94444444444444,5,0,0,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False
2,36,2,2,1,47,9.442483307087192,350.3333333333333,4,0,1,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
3,18,2,1,4,30,7.718685495198466,124.94444444444444,5,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
3,12,3,1,4,28,7.011213987350367,92.33333333333333,6,1,1,False,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,True,False
0,12,3,0,4,56,6.428105272684596,51.5,3,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
3,12,3,0,4,54,7.251344983372214,117.41666666666667,6,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,True
0,12,4,0,4,33,6.682108597449809,66.41666666666667,0,0,1,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False
1,24,4,0,4,20,8.193676665955241,150.70833333333334,1,0,0,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False
2,12,0,0,4,54,7.1846291527173145,109.83333333333333,2,0,0,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
2,54,3,3,3,58,9.67696329306244,295.27777777777777,5,1,1,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,True,False
0,12,4,1,4,61,7.607381425639791,167.66666666666666,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
2,18,2,2,4,34,7.872073979866873,145.66666666666666,4,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
2,36,3,0,4,36,7.757051142032013,64.91666666666667,5,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
2,20,4,1,3,36,8.861917004235215,352.85,2,0,0,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,True,True
0,24,2,0,4,41,7.293017679772782,61.208333333333336,2,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False
2,36,3,1,4,24,7.751045117971802,64.52777777777777,5,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
0,6,3,2,3,24,6.838405200847344,155.33333333333334,3,0,0,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False
2,9,3,1,4,35,7.560080465021827,213.22222222222223,5,0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
0,12,4,3,2,26,7.802209316247118,203.75,0,0,0,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,True,True
2,24,3,2,2,39,9.387565631345389,497.4166666666667,5,0,1,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False
0,18,3,0,2,39,8.773229786032473,358.77777777777777,3,0,1,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False
2,12,3,1,2,32,8.712595487748722,506.5,5,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
3,24,4,3,1,30,8.951828676824181,321.7083333333333,3,0,0,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,False
2,14,1,0,1,35,7.252053951852814,100.71428571428571,3,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False
2,6,2,0,1,31,7.27931883541462,241.5,4,0,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False
1,15,3,3,4,23,5.973809611869261,26.133333333333333,4,0,0,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False
2,18,3,1,3,28,8.74209519574531,347.77777777777777,5,0,0,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False
0,36,3,2,4,25,8.969032850034301,218.19444444444446,3,0,1,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False
3,12,1,0,3,35,7.427144133408616,140.0,4,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False
0,48,4,0,4,47,8.182838710766026,74.54166666666667,0,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
3,42,4,1,4,30,8.878358040627822,170.8095238095238,3,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
3,10,4,3,2,27,7.665284718471351,213.2,3,0,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False
3,33,1,2,1,23,8.362175469149628,129.72727272727272,4,0,1,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
2,12,1,1,3,36,7.769378609513984,197.16666666666666,3,0,0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
3,21,3,2,3,25,7.515344571180436,87.38095238095238,6,0,1,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False
0,24,3,0,4,41,8.260751354700513,161.16666666666666,3,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True
0,12,3,2,3,24,7.478169694159785,147.33333333333334,3,0,0,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,True,False
1,10,3,0,4,63,6.661854740545311,78.1,4,0,0,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
2,18,4,3,4,27,7.562681246721884,106.88888888888889,2,0,1,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False
3,12,3,2,4,30,7.660114319173928,176.75,6,0,0,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
3,12,3,2,4,40,6.553933404025811,58.416666666666664,6,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False
2,12,3,2,4,30,6.461468176353717,53.25,5,0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
2,12,3,4,4,34,7.528869256642251,155.0,5,0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True
3,12,3,2,3,29,8.160518247477505,291.5833333333333,6,0,1,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False
2,48,4,1,1,24,9.046408680293819,176.8125,2,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
3,36,3,2,4,29,8.837536046107568,191.30555555555554,6,0,1,False,True,False,False,False,False,True,False,True,True,False,False,False,True,True,False,True,False
0,15,3,3,2,27,7.904334842085095,180.53333333333333,3,0,0,False,False,True,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False
0,18,3,2,4,47,7.59337419312129,110.22222222222223,3,0,0,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
0,60,2,1,2,21,9.224736252259914,169.06666666666666,2,0,0,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False
0,12,4,0,4,38,7.123672785204607,103.33333333333333,0,0,0,True,False,False,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False
0,27,0,2,2,27,9.061144065614055,319.0,0,0,0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True
2,12,1,2,4,66,6.642486801367256,63.833333333333336,3,0,1,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
2,15,4,1,4,35,7.911690520708339,181.86666666666667,2,0,0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False
1,12,3,2,2,44,7.540090320145325,156.75,4,0,0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
1,6,0,3,2,27,6.565264970035361,118.16666666666667,1,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False
2,36,3,3,4,30,8.475537516147405,133.19444444444446,5,0,0,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False
3,27,3,2,3,27,8.136518252115291,126.51851851851852,6,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
3,18,3,2,2,22,7.809135398120538,136.77777777777777,6,0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
0,21,3,3,4,23,7.735870319952567,108.95238095238095,3,0,0,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False
2,48,2,1,4,30,8.17948018535889,74.29166666666667,4,1,0,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
3,6,3,0,1,39,6.7580945044277305,143.33333333333334,6,0,0,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False
0,12,2,1,4,51,6.52649485957079,56.833333333333336,2,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
3,36,3,2,3,28,8.588955557643128,149.19444444444446,6,0,0,True,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False
0,18,0,0,4,46,7.367077059881012,87.88888888888889,0,0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
0,6,2,0,2,42,7.205635176410364,224.33333333333334,2,0,0,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
0,10,3,2,1,38,7.562681246721884,192.4,3,0,0,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False
1,36,3,2,4,24,8.674025985443025,162.44444444444446,4,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
2,24,0,0,2,29,8.95660873889395,323.25,2,0,0,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,True
2,24,2,1,4,36,8.849083518532339,290.2916666666667,4,0,0,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
3,12,3,2,2,20,7.1569563646156364,106.83333333333333,6,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False
3,9,2,0,3,48,7.161622002939187,143.11111111111111,5,0,0,True,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False
3,12,3,0,4,45,5.8289456176102075,28.25,6,1,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True
2,24,2,1,2,38,8.164225652265827,146.33333333333334,4,0,0,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
0,6,4,2,1,34,7.549082710812286,316.3333333333333,0,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
0,24,2,0,3,36,7.96311205897929,119.66666666666667,2,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
0,18,3,3,4,30,6.962243464266207,58.611111111111114,3,0,0,True,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False
0,15,1,1,4,36,7.141245122350491,84.13333333333334,1,0,0,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
2,10,3,4,2,70,8.896861744480391,730.8,5,0,0,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False
0,36,1,0,4,36,6.813444599510896,25.25,1,0,0,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
0,6,1,2,1,32,7.999342952713282,496.3333333333333,1,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
3,18,3,4,4,33,7.0317412587631285,62.833333333333336,6,0,1,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
2,11,0,3,4,20,7.363913501405819,143.36363636363637,2,0,0,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False
0,24,3,1,2,25,8.287276755814599,165.5,3,0,0,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,True,False
2,24,3,0,4,31,7.568379267836522,80.625,5,0,1,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,True,False
3,15,3,0,4,33,6.85751406254539,63.333333333333336,6,1,1,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False
0,12,3,2,4,26,6.638567789166521,63.583333333333336,3,0,0,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,True,False
2,24,3,4,3,34,7.632885505395133,86.0,5,0,1,False,True,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False
2,8,3,2,4,33,7.254884810077338,176.75,5,0,0,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False
3,21,3,3,2,26,8.13593277200489,162.57142857142858,6,0,1,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
0,30,4,4,4,53,8.920789888464375,249.5,0,0,1,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True
3,12,3,2,2,42,7.8547691834991324,214.75,6,0,0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
3,6,1,0,4,52,5.82600010738045,56.333333333333336,4,0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
0,12,3,1,4,31,7.582738488914411,163.58333333333334,3,0,0,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False
3,21,3,0,4,65,6.349138991379798,27.19047619047619,6,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
0,36,3,3,1,28,9.166701914946353,265.8888888888889,3,0,1,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False
2,36,3,2,2,30,8.40200678160712,123.75,5,0,1,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,True,False
3,21,4,2,4,40,7.4073177104694174,78.42857142857143,3,1,1,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
0,24,0,2,4,50,8.236950048061455,157.375,0,0,0,True,False,False,False,False,False,True,False,True,False,False,True,True,False,True,False,True,False
2,18,3,0,4,36,6.785587645007929,49.111111111111114,5,0,1,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False
0,15,3,2,4,31,7.215975002651466,90.66666666666667,3,0,0,True,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
2,9,3,0,2,74,8.542860938164814,569.8888888888889,5,1,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True
2,16,3,4,2,68,7.069874128458572,73.4375,5,0,0,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False
3,12,2,1,4,20,6.51471269087253,56.166666666666664,5,0,1,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,True,False
2,18,3,2,1,33,8.08487062913819,180.22222222222223,5,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
0,24,0,2,2,54,8.432070937999402,191.29166666666666,0,0,1,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False
2,48,2,1,4,34,8.254528881939745,80.08333333333333,4,1,1,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False
2,27,3,2,4,36,8.272826003650401,145.0,5,0,1,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False
0,6,3,1,2,29,7.653969180478774,351.3333333333333,3,0,0,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False
2,45,2,2,4,21,8.016977746762262,67.35555555555555,4,0,1,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,True,True,False
